"B"	"cDC1"	"cDC2"	"eos"	"mon"	"neu"	"pDC"	"mye"	"mouse"	"treatment"	"exp"
9.73356724502159	11.0855744282819	11.238792526295	6.18517224751393	6.30648882626266	10.1458256681247	12.6140227816714	9.10887678656202	"1127"	"PBS"	"DL191_noE"
14.3729303688609	0	0	0	2.62909397579179	4.35191813642623	2.68424174184234	3.43773298905029	"1127"	"PBS"	"DL191_noE"
6.50635017385919	0	0	0	0	0	0	0	"1127"	"PBS"	"DL191_noE"
0	0	4.1601013565962	0	0	0	2.28452643620207	0	"1127"	"PBS"	"DL191_noE"
0	0	0	1.97767211133452	0	0	0	0.984397043545279	"1127"	"PBS"	"DL191_noE"
0	0	0	0	0	1.9306694413751	2.28452643620207	0.984397043545279	"1127"	"PBS"	"DL191_noE"
0	0	1.59887969218964	0	0	0	0	0	"1127"	"PBS"	"DL191_noE"
0	0	0	0	0	3.78172653072109	2.83715924380395	2.71024691061371	"1127"	"PBS"	"DL191_noE"
0	0	8.35455037187823	0	0	0	8.88109252805969	0	"1127"	"PBS"	"DL191_noE"
0	0	6.10577290222144	0	0	0	3.59661232574285	0	"1127"	"PBS"	"DL191_noE"
0	0	4.90712685058454	0	0	0	2.28452643620207	0	"1127"	"PBS"	"DL191_noE"
0	0	0	0	4.49580229150802	3.92469822320206	0	3.85488336641235	"1127"	"PBS"	"DL191_noE"
0	9.40995172961599	11.5661411554724	0	0	2.829190131248	9.19724093304504	1.77919867785852	"1127"	"PBS"	"DL191_noE"
6.85624430752244	0	0	0	3.31833508447739	0	8.89217576451416	2.23188991143403	"1127"	"PBS"	"DL191_noE"
2.89847147421414	0	0	0	0	0	3.3738909990098	0	"1127"	"PBS"	"DL191_noE"
0	9.89056572704417	0	0	0	0	0	0	"1127"	"PBS"	"DL191_noE"
0	0	2.26123682052313	0	0	0	0	0	"1127"	"PBS"	"DL191_noE"
0	0	4.87141281579168	0	0	0	0	0	"1127"	"PBS"	"DL191_noE"
0	0	0	0	0	2.3244877505039	0	1.31437960677317	"1127"	"PBS"	"DL191_noE"
5.60349380958197	13.7605559032018	12.6622681685942	6.96897043854434	8.18839614114807	10.6903462534101	11.6340495617932	9.71320388539504	"1127"	"PBS"	"DL191_noE"
0	1.60332827737531	0	0	0	0	0	0	"1127"	"PBS"	"DL191_noE"
0	0	1.59887969218964	0	0	0	0	0	"1127"	"PBS"	"DL191_noE"
8.96559023977984	0	3.35015884286264	14.0837146116021	13.9485630969672	13.744783600405	11.3274694146716	13.9325518389061	"1127"	"PBS"	"DL191_noE"
9.55728477495012	12.1795091027068	12.0612762704521	11.3270449677728	12.8522868741383	13.258634511622	12.1154506977874	12.7654681061062	"1127"	"PBS"	"DL191_noE"
9.5728283074015	0	0	0	0	0	0	0	"1127"	"PBS"	"DL191_noE"
6.28826261351505	10.6030868672915	5.64315695105607	0	0	3.41456492070762	13.5346378550578	2.34727441492692	"1127"	"PBS"	"DL191_noE"
2.21428611366479	0	0	0	0	3.41456492070762	0	2.34727441492692	"1127"	"PBS"	"DL191_noE"
0	10.8050918286312	0	0	0	0	0	0	"1127"	"PBS"	"DL191_noE"
7.80255511416214	0	0	0	0	0	0	0	"1127"	"PBS"	"DL191_noE"
0	0	0	0	0	0	2.83715924380395	0	"1127"	"PBS"	"DL191_noE"
0	10.7471190153027	8.56250373885597	0	3.43584313799085	6.32824893390657	11.8148272157738	5.30567338218549	"1127"	"PBS"	"DL191_noE"
0	0	4.69274624738513	0	3.31833508447739	5.31062691331628	0	4.36053360456977	"1127"	"PBS"	"DL191_noE"
4.91038736291708	0	0	0	0	5.70490541473805	0	4.62959437988433	"1127"	"PBS"	"DL191_noE"
0	0	0	0	0	1.9306694413751	0	0.984397043545279	"1127"	"PBS"	"DL191_noE"
0	0	0	0	0	4.04977502468105	0	2.97667661266444	"1127"	"PBS"	"DL191_noE"
0	0	0	0	4.90119826202701	0	0	3.80492009307071	"1127"	"PBS"	"DL191_noE"
8.14113753054323	0	0	13.1950054389343	13.0294255472564	12.8526215502933	10.1195205799746	13.0326349340267	"1127"	"PBS"	"DL191_noE"
0	0	0	0	0	0	2.5039553916313	0	"1127"	"PBS"	"DL191_noE"
0	0	0	0	0	3.92469822320206	0	2.85224948002361	"1127"	"PBS"	"DL191_noE"
0	1.60332827737531	0	0	0	0	0	0	"1127"	"PBS"	"DL191_noE"
0	0	0	0	0	4.30748179998497	0	3.23346043848211	"1127"	"PBS"	"DL191_noE"
9.23092745470278	11.51012014626	11.1717061057157	0	3.87706768208815	6.46853379395789	11.1615846131359	5.46389070486237	"1127"	"PBS"	"DL191_noE"
0	10.084174626674	9.76088266224597	0	0	3.01044787332961	10.4525328713281	1.95295028826848	"1127"	"PBS"	"DL191_noE"
6.49274458336738	0	0	6.3021430391329	0	0	0	5.17784718711518	"1127"	"PBS"	"DL191_noE"
3.90743471012058	0	0	0	0	4.61755289905253	0	3.5428974144564	"1127"	"PBS"	"DL191_noE"
0	0	0	0	0	0	2.00473218441495	0	"1127"	"PBS"	"DL191_noE"
0	6.44479833876853	7.03780778931332	0	0	0	8.35403779228859	0	"1127"	"PBS"	"DL191_noE"
0	2.66545756869908	0	0	0	0	0	0	"1127"	"PBS"	"DL191_noE"
0	0	0	0	0	0	2.00473218441495	0	"1127"	"PBS"	"DL191_noE"
0	0	0	0	0	0	1.62084034661062	0	"1127"	"PBS"	"DL191_noE"
